side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-07-16T07:45:00.000Z,2026-07-16T07:50:00.000Z,2026-07-16T08:10:00.000Z,0.073512047,0.07323122404,352105.78635379986,25884.017115412495,10.3536,-109.2330,-1.1985,-3.4462,0.0694,4,0.8500
long,sweep,tp,2026-07-16T12:45:00.000Z,2026-07-16T12:50:00.000Z,2026-07-16T14:10:00.000Z,0.072891861,0.07381620000000003,267001.5107595789,19462.23700907723,7.7849,239.0150,2.6543,-0.3020,2.9299,16,0.7490
long,sweep,sl,2026-07-16T17:15:00.000Z,2026-07-16T17:20:00.000Z,2026-07-16T22:40:00.000Z,0.073231963,0.072742350746,197611.5991106809,14471.485314444215,5.7886,-102.5417,-1.1093,-1.0731,0.8509,64,0.7978
long,sweep,sl,2026-07-17T06:00:00.000Z,2026-07-17T06:05:00.000Z,2026-07-17T08:30:00.000Z,0.07159147099999999,0.071175960804,231926.16565976889,16603.935362972537,6.6416,-103.0093,-1.1268,-1.0439,0.8843,29,0.7135
short,sweep,sl,2026-07-17T17:10:00.000Z,2026-07-17T17:15:00.000Z,2026-07-20T01:10:00.000Z,0.072668193,0.073127851776,206484.49264954074,15004.854963363909,6.0019,-100.9144,-1.1165,-1.0093,2.4860,671,0.7611
short,sweep,tp,2026-07-20T01:10:00.000Z,2026-07-20T01:15:00.000Z,2026-07-20T05:10:00.000Z,0.072748169,0.07131134000000001,175916.77607682516,12797.623355972035,5.1190,247.6433,2.7708,-0.4169,2.8504,47,0.8019
short,sweep,sl,2026-07-20T09:35:00.000Z,2026-07-20T09:40:00.000Z,2026-07-20T10:20:00.000Z,0.071928415,0.072195712218,373918.1614269302,26895.34069115323,10.7581,-110.7054,-1.2053,-1.3906,0.0343,8,0.7498
long,sweep,tp,2026-07-20T14:00:00.000Z,2026-07-20T14:05:00.000Z,2026-07-20T15:45:00.000Z,0.072111627,0.07330098,213371.37640667238,15386.55710791456,6.1546,247.6193,2.7288,-0.8738,2.8178,20,0.8500
short,sweep,tp,2026-07-20T16:15:00.000Z,2026-07-20T16:20:00.000Z,2026-07-20T18:45:00.000Z,0.07337798000000001,0.07241852000000003,266969.0852736944,19589.652199831446,7.8359,248.3103,2.6637,-0.2922,2.7722,29,0.7448
short,sweep,sl,2026-07-21T00:25:00.000Z,2026-07-21T00:30:00.000Z,2026-07-21T01:05:00.000Z,0.072108361,0.072406195344,346601.8932874301,24992.894444453486,9.9972,-113.2271,-1.1831,-1.0924,0.0000,7,0.7398
short,sweep,tp,2026-07-21T08:15:00.000Z,2026-07-21T08:20:00.000Z,2026-07-21T17:45:00.000Z,0.073617908,0.07295768000000001,378993.86499404046,27900.735485695688,11.1603,239.0621,2.5279,-0.7297,2.7568,113,0.7187
short,sweep,tp,2026-07-22T21:50:00.000Z,2026-07-22T21:55:00.000Z,2026-07-23T07:10:00.000Z,0.07290812099999999,0.07207157999999998,314791.3531071772,22950.846062091798,9.1803,254.1555,2.6212,-0.8827,2.7859,111,0.7056
long,sweep,sl,2026-07-23T13:30:00.000Z,2026-07-23T13:35:00.000Z,2026-07-23T15:00:00.000Z,0.07055115899999999,0.069719317928,122704.3306935347,8656.932744748146,3.4628,-105.5333,-1.0606,-1.6292,0.1466,17,0.7563
short,sweep,sl,2026-07-24T06:10:00.000Z,2026-07-24T06:15:00.000Z,2026-07-24T07:00:00.000Z,0.069209231,0.069449408574,426740.50398360513,29534.382117257745,11.8138,-114.3073,-1.2212,-4.1521,0.2244,9,0.7157
short,sigma,tp,2026-07-24T07:15:00.000Z,2026-07-24T07:20:00.000Z,2026-07-24T11:45:00.000Z,0.069959006,0.06916934,334135.26778467913,23375.771203759974,9.3503,254.5050,2.6155,-0.5185,2.7437,53,0.5546
short,sweep,sl,2026-07-25T01:00:00.000Z,2026-07-25T01:05:00.000Z,2026-07-25T13:00:00.000Z,0.06957912,0.06987037482599999,369404.0599020941,25702.80941241499,10.2811,-117.8718,-1.1805,-1.3721,1.6616,143,0.7131
short,sweep,sl,2026-07-25T14:45:00.000Z,2026-07-25T14:50:00.000Z,2026-07-25T14:50:00.000Z,0.070128955,0.07040159414399999,392291.8159307683,27511.015106277137,11.0044,-117.9585,-1.1955,-1.7932,0.0000,0,0.8178
short,sweep,sl,2026-07-25T15:05:00.000Z,2026-07-25T15:10:00.000Z,2026-07-25T15:40:00.000Z,0.070698784,0.07105308953399998,292771.1260574444,20698.56260257203,8.2794,-112.0099,-1.1489,-2.3160,0.2967,6,0.7277
short,sweep,sl,2026-07-25T16:15:00.000Z,2026-07-25T16:20:00.000Z,2026-07-25T16:40:00.000Z,0.071698484,0.072155620194,221291.39037014535,15866.257211791622,6.3465,-107.5068,-1.1155,-1.1057,0.7772,4,0.7074
long,sweep,tp,2026-07-25T23:40:00.000Z,2026-07-25T23:45:00.000Z,2026-07-26T02:10:00.000Z,0.071741516,0.07238984000000002,389289.23377914,27928.199793793916,11.1713,241.2143,2.5312,-0.7006,2.8125,29,0.7786
long,sweep,sl,2026-07-26T12:20:00.000Z,2026-07-26T12:25:00.000Z,2026-07-26T13:25:00.000Z,0.073291981,0.07284212080600001,228290.56475342877,16731.86773438757,6.6927,-109.3916,-1.1196,-1.0560,0.2757,12,0.7162
short,sweep,sl,2026-07-26T16:30:00.000Z,2026-07-26T16:35:00.000Z,2026-07-26T23:05:00.000Z,0.073198034,0.073528772016,312986.89981602627,22910.025734288083,9.1640,-112.6807,-1.1663,-1.0430,2.3585,78,0.7948
short,sweep,tp,2026-07-27T06:05:00.000Z,2026-07-27T06:10:00.000Z,2026-07-27T14:25:00.000Z,0.07317804,0.07182894,199356.69003065117,14588.531837330593,5.8354,263.1167,2.7555,-0.2964,3.1067,99,0.7061
short,sweep,sl,2026-07-28T02:55:00.000Z,2026-07-28T03:00:00.000Z,2026-07-28T07:00:00.000Z,0.070048979,0.07040159414399999,295984.1278570408,20733.385956591166,8.2934,-112.6618,-1.1482,-1.2700,0.8416,48,0.7419
short,sweep,tp,2026-07-28T07:00:00.000Z,2026-07-28T07:05:00.000Z,2026-07-28T13:35:00.000Z,0.07027891,0.06936717999999997,292119.434889156,20529.835473825857,8.2119,258.1221,2.6613,-0.5454,3.2796,78,0.7155
short,sweep,sl,2026-07-28T20:05:00.000Z,2026-07-28T20:10:00.000Z,2026-07-28T21:45:00.000Z,0.07077876000000001,0.071033043522,422048.8059471627,29872.091144420803,11.9488,-119.2689,-1.2130,-1.2501,0.7673,19,0.7731
long,sweep,sl,2026-07-29T14:25:00.000Z,2026-07-29T14:30:00.000Z,2026-07-29T15:15:00.000Z,0.07029108099999999,0.06994878906600001,306195.5867400841,21522.818789389774,8.6091,-113.4174,-1.1528,-1.0616,0.5569,9,0.7003
short,sweep,sl,2026-07-30T01:35:00.000Z,2026-07-30T01:40:00.000Z,2026-07-30T17:45:00.000Z,0.070468853,0.070872675426,254195.40667213174,17912.85874605367,7.1651,-109.8149,-1.1292,-1.1531,2.2711,193,0.7068
