symbol,timeframe,days,config,trades,win_rate,total_pnl,avg_pnl,max_dd,sharpe
LINK_USDT,Min5,90,base,113,26.5,-673.73,0,0,0
LINK_USDT,Min5,90,tight-stop,113,26.5,-673.73,0,0,0
LINK_USDT,Min5,90,wide-stop,6,33.3,153.25,0,0,0
LINK_USDT,Min5,90,conservative,7,57.1,848.17,0,0,0
LINK_USDT,Min5,90,aggressive,133,26.3,-895.29,0,0,0
LINK_USDT,Min5,90,high-rr,91,18.7,-1354.67,0,0,0
LINK_USDT,Min5,90,low-rr,127,34.6,-502.63,0,0,0
WLD_USDT,Min5,30,base,53,20.8,-1385.15,0,0,0
WLD_USDT,Min5,30,tight-stop,53,20.8,-1385.15,0,0,0
WLD_USDT,Min5,30,wide-stop,3,33.3,74.43,0,0,0
WLD_USDT,Min5,30,conservative,12,33.3,279.93,0,0,0
WLD_USDT,Min5,30,aggressive,70,21.4,-1638.13,0,0,0
WLD_USDT,Min5,30,high-rr,52,17.3,-1106.36,0,0,0
WLD_USDT,Min5,30,low-rr,58,29.3,-1091.51,0,0,0
WLD_USDT,Min5,60,base,3,100.0,657.22,0,0,0
WLD_USDT,Min5,60,tight-stop,3,100.0,657.35,0,0,0
WLD_USDT,Min5,60,wide-stop,2,100.0,366.82,0,0,0
WLD_USDT,Min5,60,conservative,1,100.0,77.43,0,0,0
WLD_USDT,Min5,60,aggressive,4,75.0,543.79,0,0,0
WLD_USDT,Min5,60,high-rr,3,100.0,891.34,0,0,0
WLD_USDT,Min5,60,low-rr,3,100.0,476.31,0,0,0
WLD_USDT,Min5,90,base,65,32.3,1073.20,0,0,0
WLD_USDT,Min5,90,tight-stop,65,32.3,1073.46,0,0,0
WLD_USDT,Min5,90,wide-stop,28,28.6,4.79,0,0,0
WLD_USDT,Min5,90,conservative,25,20.0,-834.22,0,0,0
WLD_USDT,Min5,90,aggressive,89,29.2,409.70,0,0,0
WLD_USDT,Min5,90,high-rr,62,30.6,2843.62,0,0,0
WLD_USDT,Min5,90,low-rr,72,34.7,-253.67,0,0,0
PEPE_USDT,Min5,30,base,41,31.7,326.98,0,0,0
PEPE_USDT,Min5,30,tight-stop,41,31.7,326.74,0,0,0
PEPE_USDT,Min5,30,wide-stop,5,20.0,-391.03,0,0,0
PEPE_USDT,Min5,30,conservative,7,14.3,-503.58,0,0,0
PEPE_USDT,Min5,30,aggressive,50,28.0,-264.19,0,0,0
PEPE_USDT,Min5,30,high-rr,37,24.3,97.65,0,0,0
PEPE_USDT,Min5,30,low-rr,45,35.6,-206.14,0,0,0
PEPE_USDT,Min5,60,base,76,25.0,-1086.65,0,0,0
PEPE_USDT,Min5,60,tight-stop,76,25.0,-1086.62,0,0,0
PEPE_USDT,Min5,60,wide-stop,10,20.0,-521.55,0,0,0
PEPE_USDT,Min5,60,conservative,11,18.2,-545.18,0,0,0
PEPE_USDT,Min5,60,aggressive,99,23.2,-1898.26,0,0,0
